text,label
wonder police expect happen continually abuse kill people honestly expect public nothing lie back take let cop turn one massive street gang allow kill without consequence even rat cornered defend,1
basset think walmart hire holiday get job loser,1
anybody get cigar,0
monkey scream bout honkie intensifie,1
53 see brick hit white pig helmet laugh ass nice shot hit face,1
not reckon black life matter banner hold white cunt kind patronize ironically racist could not come something well white folk give self pride oh look nice black people always race actually whole world hesitate around fear racist fucking daft man,1
thank stefan humorous tragic enlightening california,0
send france,0
tell even taboo talk something news medium not touch ten foot pole black white crime black sexually assault 30 00 white woman 2005 few 10 black woman sexually assault white man yes use 2005 boy not make stat available online anymore state statistic may inflammatory certain ethnic group tip iceberg,0
need arrest protester soon start block traffic driver see start block road would not stop,1
sick see racist comment shame still rascal 2015 grow fuck people,1
stefan molyneux hate black much actually not surprised bloody british people conquer we absolutely nothing freedom gain decade go hate we not pale one would wonder mother black woman,1
pant not loot,0
thank real hear little girl think thing rage media ever behind want promote racial tension nobody black community want talk elephant room almost like everything medium music scene promote thug life,0
dear grindahz aka pot call kettle black spelling list week whether weather way weigh ferguson stupid 10 hypocrite stay tuned grammar lesson punctuation lesson,0
people stupid fuck would work 7 be idea fun loser nothing well oh yes great work burn auto place no people unemployed not provide family great work police shot criminal happen black people definition sheep not one individual thinker among,1
thank yet another sober analysis stefan amount bias deception leave mainstream medium insane,0
not believe recite music listen cop use excessive force cop become judge jury executioner society screw issue cop not get train escalation force not use non lethal mean apprehend civilian suspect,0
pretty woman dang,0
like black racist white people without consequence keep nice new world live keep,1
find amusing protester claim fight racism yet blind racism several report black people attack white people couple day ago report white man beat death hammer black teen st louis yes clearly no racial intent fucking hypocrite,1
michael brown thug god bless thin blue line graduate police academy december,1
see impose outlaws fact even machine gun people could not anything police car body protection like tank want say,0
majority people ferguson african american elect official not african american mayor city council police chief elect official people community not step fill role,0
yet another reason police need wear recording device time people well really help ensure truth maintain time imagine officer pop camera would show situation,0
police not militarize,0
white folk always ask would cop something could ruin career answer know get away know chief fellow cop cover know white folk asshole like make excuse slim none chance trial kind always acquit,0
amen amen sister go strong black woman get back,0
shoot not one thing black black people make black issue bottom line grow man rob store ignore police order people think ok protest behalf thug no respect law yes shame come death not thief would still alive hear bullshit black get get hard street street blah blah blah wear hard live like badge honor no honor country hey let we go steal cigarillos make blunt worsen already ghetto,1
white man not finish sentence america need wake truth murder,1
someone shoot black idiot would make giggle inside,1
would stop cost come black community create no responsibility no worry,0
say black piece come bit stiff due repeat use african american,0
get job,1
make song address ferguson issue today please listen thank big picture soundcloud listen big picture cool no problem soundcloud,0
basset right express freedom expression right amendment constitution not think competent,0
fuck gay ass bald white frenchy night going set dang judge whole criminal conspiracy micheal brown motherfucke hand air son smart know night hand motherfucke air sign show innocent crime sorry cuss shit internationally recognize indication innocence part perpetrator night medium plain old fashioned example murder first degree part mister officer darren wilson takin life night college student night kent state protest get ass shoot historic event michael brown shoot dead street takin part ferguson protest medium motherfucker try explain away,1
black young woman like stefan think need people like country,0
watch video clear stefan seem buy argument favor white police officer not dead black kid watch video post see patter bias exist sure enough repeat patter argument trevor martin convince like minded not different alex jones many white conservative pretend system affect white people minority black fair game stefan keep preach one sided view gain many white admirer share view,0
basset mari well say pro,0
peggy know many fine black woman man like sick tired violence blame thank speak,0
sure michael brown know killer young girl consider homeboy,0
11 00 case present grand jury not return indictment apparently militarize police state gun unarmed teen time involve racist use hide behind white hood hide behind computer screen police badge,1
jerk make story skittle arizona ice tea component lean actual promethazine pharmaceutical drug easy get street level guy quake antebellum period dreamer negro live beneath need realize really not much well statistic would say white well fair white commit violent crime anyone please come white savior,0
05 18 no idea cop moo always think oinked learn something new every day,1
never argue idiot,1
peace need find side stubborn relentless peaceful not go work sit step power day chant concern fear path dark side fear lead anger anger lead hate hate lead suffer yoda,0
ignorance law no excuse 18 242 deprivation right color law,0
gentle giant seem rob store later assault armed police officer much school boy look hope thug life come high price,1
need search youtube actual doctored audio michaelbrown shooting catch change evidence,0
dis ferguson de united state murky retard start violent protest tries pawn police state lie cop arrive,1
lot driver band together collectively beat living shit every one little prick,1
wish joe would go fear factor eat fresh steam pile shit mouth would full not hear worthless cunt speak,1
glad protestor affect many people give public reason hate,1
really hard open fire,1
without badge bitch half fuck police,1
fuck need military police civilian like want bring new gear dress like soldier strut around try look tough,0
dude fuck punk police,1
oh god stefan rap hysterical anyway good news guess know whatshisname douche deserve die preemptive strike make officer darren wilson huzzah another trash take street probably cure disease rather treat symptom though disease ignorance self entitlement community low class get poverty not easy starting point not easy still feasible right amount drive,1
video would interesting stefan take clothe sexy case really not hard understand would cop good record year service shoot teenager hand witness friend lie start protest snowball effect ensue watch video store show brown aggressive hard believe evidence make huge error judgement fight police officer no not,0
idiot,1
deal force,0
mister stefan molyneux mister wilson drive multiple story therefore deserve fair trial wilson law enforcer firm happen would good wilson speak would truly respect officer would talk public seem hide,0
oh god not give whole story give one side half,0
really say trevor martin bring watermelon skittle make lean laugh loud yo white people say aannyythe make bulk people look certain way truth even trevor say no limit night fuck kid say dumb thing time say batman laugh loud sicken make kind excuse not talk second video come year mike brown situation cop say not think important show mike make trade store owner no robbery laugh loud talk corruption police medium withholding information,1
love lady need strong woman like peggy hubbard,0
never racist almost make one course not mean get idea,0
day conservative support confederate flag denie racism criticize black people deem hero white people laugh ass please get white woman black face screen,1
video actually happen simply try smear young man image want rapper stole cigar nothing side video deserve death sentence also release new video officer wilson show no injury show officer wilson not truthful incident perhaps need wait detail post bias video go post video make sure accurate not mention friend criminal state brown give black white witness nothing incident state hand surrender wilson shot,0
question park cruiser front protester thinking_face thinking_face,0
hoax,0
need people like peggy hubbard support mother year common sense,0
brown stepfather pant half way,1
something wrong audio,0
00 hear guy say policeman state 31 year service officer die weapon one shoot execution style whatever fuck officer wilson let 300 pound guy run 150 ft big run fast assume not take 30 40 tell brown freeze shoot way tell,1
relevance marijuana autopsy show entry wound spread body close range spread would tight hit region likely chest area long range spread would disperse see report wound underside arm expose arm raise gesture peace hand empty away body pose plus no powder burn body far away,0
not think somebody deserve die steal cigar fine criminal put legal process humane kill americans treat felon criminal like dog moment commit minor crime like steal cigarette smoke weed no long human not right one rap make bad quality tone not think matter lot people produce rap music consider big rapper always talk smoking weed bitch kill people no surprise brown probably inspire crime brown stealing cigar tell white person go convenience store stole alcohol get shoot not even hour later police would justify police shooting,0
stop criminal not get shoot simple,1
yea fuck store clerk dare try job,1
laugh loud happen greedy rich slime keep mass uneducated ignorant deal stupid create try reason irrational exercise futility get popcorn ready boil fall talk fall walk,1
look like brown suicide cop thing,1
look deeply happen black people not put black people situation black people hope learn history,0
hey shout thai write shirt laugh loud thaipride,0
gal call spot way go ms peggy way go,0
stat represent problem race bait attitude crime oh bet crayon still little innocent boy speak lisp sure sign leave wing democrat,1
people see not even understand say black america good world see people respect race like see much bad,1
add another imbecile bunch reporter incompetent bastard,1
not black many year ago almost shoot police drive friend party even illegal drug use car not even notice cop car behind light go freak pulled panic cop bright light we try desperately hide drug could hear cop tell get car keep try hide drug course see go center console maybe get gun tell loudly stop put hand see get car tell freeze exactly tell not listen would shot likely head not understand anyone would not cop tell say put hand put hand tell step back step back defy person gun threaten shoot color nothing,0
till start advocate parent family black community totally lose,0
thank peggy,0
mari close get isis america,1
point try make black not equal opportunity ferguson suggest city counsel give young black man woman job black black people ferguson treat unfairly law enforcement suggest black community law bide citizen break law less white people cop arrest black citizen fun sport even know true reason black community rioting loot even ask see rioting loot break knoxville young white couple kidnap brutally rap eventually murder black man woman wonder come racism plain stupidity mister brown no angel study fact stay away emotion skin color,0
thank obama,1
intellectual mature approach case black man 32 many old black man prison dead stuck matrix druther struggle no old man guide young male often encounter police without understand deal cop many role model come rapper advocate violence police deer catch headlight potential life death encounter racism not many black people rant hate crime clearly assault store clerk indicate propensity violence wilson stop point finger address problem black teen lack male role model say black people need address alternative deal suspect victim non lethal weaponry deal encounter race start focus solution possible violent encounter alternative see progress police not go protest burn community retaliation police support theory brown product violent environment burn business go solve problem police department counter productive hoax,0
believe photo gentle giant accomplice give gang sign no even brown raise hand surrender maybe realize would blow could get trouble officer wilson adrenaline run high react officer not hesitate would lose life lord know no thing thug go college look angelic professional athlete keep getting arrest crap feed disgust,1
might wrong majority black community not vote would not make sense inequality city government,0
almost floor shave quality cigar con keep sensationalism one comment video perfect well think well put,0
man stuff like really make reconsider world would hitler alive,1
blunt addiction tobacco blunt keep call another play race card,0
not help motherfucker primitive compare white people get frustrate live around white people not compete black africa much self assure not get remind every day not compete multiculturalism not good anybody people throw fit live tax dollar steal white people,1
one must fuck stupid one attack police officer expect get away without response police,1
well society great good michael brown go rail get usher college life athletic scholarship become brown killer like simpson became la find civilly liable know,1
black people like,0
call researcher plan examine fact yet mention bullshit rumor crayon martin ice tea skittle fact speculation victim blame actually stop try pretend yo examine fact,1
awesome,0
video liberal propaganda use divide people fuel chaos ferguson stay tuned trial fact decide evil white people source problem mean straight watch trial no fox news manic,0
black life matter take black ass home nothing black ass,1
france military teach could use lethal weapon use similar equal superior lethal weapon we another defend use superior weapon not never allow think noble french concept,0
feel thirsty violence rather knowledge,0
bad testtube video ever inequality choice white flight via change demographic et remain resident say vote put nominee go city council meeting put grievance councilman et besides supposedly post racial era america race leader matter oh way title ask really cause riot seem account answer town lawbreaker,0
ferguson 2014 protester flip police car new york times,0
10 11 fucking evidence evidence mean fact suspect armed robbery autopsy report evidence show cop innocent god damn,1
internet trolling time high,0
construction worker working area see incident state brown hand raise surrender find interesting witness account limit solely account support minority viewpoint additionally innocent prove guilty mindset simpson charge nicole murder explain shot brown back conveniently omit information witness state brown surrendering except mentioned not see single picture injury sustain police officer brown allegedly beat actually believe picture exist would not medium not say officer action motivate racism say officer probably psychopathic tendency seem type hire police street we great presentation highly hypocritical,1
micheal brown ask get think shoot black racist,0
bad nobody run hmm dumb life matter stay fuck street duh face_with_rolling_eye face_with_rolling_eye,1
think chief problem molyneux great ideal solid worthwhile goal hope share society not seem embrace ethical grey ness human being frustrate nothing approach morality not believe worth listen political strategist require recognize conditional nature human psychology construct systemic guide help incentivize positive culture good philosophy crappy political theory,0
run ignorant fuck world well without,1
let we reverse roll black racist cop rich white community not prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity question authority americans need full alert elitist agenda set president question authority elitist upper class problem prison culture via drug cartel export job import cheap labor elitist get bail support corrupt system turn around get past race issue govt incite divide work class hardly call work class govt put everyone work homeless class let we not get western history role big money play clusterfuck design destroy nation destroy point get back ask,1
friend get kill mean burn local home item seem correct,1
not care mike brown bullshit clearly understand youtube guy racist dumb point hold little water full hate lies100,1
mister smerconish sir not journalist no journalist say claim interview object search 15min fame part interview not speak direction want anything try defame person illegal definitively serve time go back school truly obvious not handle word mouth care critical enough authority would wait ton paper show know indeed run stop hand air get shoot multiple time no doubt side happen witness say however investigative journalist go ask people opinion not superior get chair go real reporting shame shame not hire professional,1
brown piece shit world well without,1
many racist comment hate white sometimes,0
link poor little trevor martin little mister brown yes thug tired beat white person ground get shoot effort end story,1
homeland,1
take break basset make much sense debate,0
leave information give police report not ask info lie omission not outright lying omit information stupid lawyer,1
people like guy make america shake head nawamsain no fuck not,0
okay blacklivesmovent thug stop carp want stand murder yet child die get shoot chest want act like plant ape movie excuse black killing black want come cop white people call we name artist name not get try listen law obey law stop shoot innocent people benefit guy kill people need jail,1
touch close idiot people watch comedy report laugh loud,1
dumb ass people run enraged_face,1
think lot black people tired gun violence gang ignorance community want stop yes bad people race get statement talk thing black community people quick say bad people every race say put black want people well care self respectful way,0
point think cop point gun know tell something provoke,0
shoot,1
us land free baby hahahaha people not live we thankful everyday bad country earth,1
anyone else piss end let walk no big deal crap pull no one get pepper spray,1
look dimwit police escort back people hold idiot,1
drive,1
hit nail head black life matter guess not keep kill stupid shit like gang loyalty sell drug instead get education able get ghetto take hat parent raise child value pride one make difference not drug deal gang ranger difference go make one less holiday dinner,0
garbage police kick job pay suppose let shit protester block thousand people could emergency would not surprised see video police like kiss idiotic law enforcement,1
molyneux spread complete information complete garbage,1
michael brown 13th person shoot week we other notice almost share something common,0
cop make money arrest people easy money no take no macing no hurt grab cuff huge safety violation right,0
move thought,0
no indictment move right along,0
stephan thank video take available information account provide reasonable rational breakdown next video could please call truth police brutality militarization police united states thank steve,0
dude sure seem know good bit smoking weed hmm accord clown black man somewhat gang side factual base photo justify murder unarmed human not ok mf er,1
well bring tear gas beanbag round rubber bullet,1
agree protestor,0
wow,0
old mans way try forever well work look,0
879 people dislike video problem man say nothing wrong change not happen not change good thing still number,0
prove block road,0
no time report mister brown approach officer officer engage young man mister brown run away officer report fire flight inconsistent would turn confront cop already hit one bullet might not like black folk not listen spin video give no weight eye witness report video discredit dead young man,0
dear mister stephen molyneux 40 minute bit long 100 right respond fact way vote thumb number 5729 not even blink try thumb must say thing happen fair thank homework hard work obviously spend lot time present case we nice obviously care much country well,0
arrest,0
us navy vet mad respect,0
well damn good,0
thank truth speak innocent,0
basset mari criminal thug psychopath no credibility no humanity need locked jail cell time rubber room straight jacket basset get intellectually dishonest butt community,1
anyone stupid enough stand roadway run die improve gene pool,1
music reference sex drug steal murder et pretty much rap music like,0
info put mike brown nobody bring fact darrin wilson test positive illegal mood alter non prescription steroid post shoot toxicology test one also wonder info give grand jury doubtful,0
everyone say micheal brown deserve treason martin eric garner,0
laugh loud look get,0
muslims black brother sister america,0
black want respect speak act dress like suitable family want treat prejudice speak act dress like know gangster steal thing act like street,1
bulk life matter bullshit witch call bullshit black people kill five period newark no call bullshit,1
respect,0
back africa still thing seem like really not like not work maybe turn continent around,1
agree vista 100,0
dumb fuck screw fellow citizen instead protest police man_facepalming,1
cop need look video start arrest people,0
mike browns father not buy get catch video say burn bitch refer ferguson dude interview thug not give air time,1
hope next video entitle truth ferguson police department ferguson riot thank usual quality research two issue match gasoline riot control otherwise peaceful protestor homeowner refuse go inside member press clear symptom something normal small town police sanford police similar protest include loot resist escalation,0
tax dollar get spanking new cop car pensive_face,0
518 urban youth could not handle truth present video,0
protest convert riot majority people wanted not fool politician play serious game common man take care everyone save humanity peace,0
ridiculous liberal tripe mean divide we along race class barrier even black refuse use word african american oppress local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stat result large black community 68 black really need stop listen democrat preach not win deck stack oppressive lifestyle never rise current condition cle liberal excuse not color skin overall presentation,0
guy monster get deserve color not matter anyone attack guy gun go get shoot stupid illegal act try hurt someone get blast give cop raise,1
get fire keep fire truck blast water jet would get,1
protestor work live get time,0
blacklivesmatter build deceit lie,1
injury cop get treat,0
look people black life matter like white life mike browns life lawfully end police officer assault mike brown suspect aka mister brown football player 6 ft inch not mention high marijuana officer 11 inch armed baton gun tell mister brown put hand witch evidence shows not shoot assault officer say well not officer well unless police officer not say officer something stupid do something else officer attack man much large not time stop think hmm maybe not defend maybe let kill,0
hahahahaha molyneux recite rap lyric intense,0
deserve kill smoke weed like fight throw gang sign allegedly steal cigar,0
step stateless society discussion existence cop useless know cop protect state corporation take decision existence people two second waw,0
people fuck america american fucking hate,1
fuck stupid ass generation i d like apologize generation agree people right protest speak et love god not mess people not anything get petition sign write government get fuck everyone day,1
yes course go college money come per majority negros drop half way semester,0
well honest black people ever know,0
magic hamster drink lot lean never hear anyone use skittle lean jolly rancher ideal candy use not magic hamster not doubt someone use skittle lean want point houston lean quote unquote create magic hamster prefer use jolly rancher lean,0
god bless lady wish people like intelligence god bless little girl lose life thug sad not single one animal care black life matter ass innocent life matter,0
not police job arrest idiot block public road ridiculous people arrest run stupid not freeway,1
no talk get fucker road period would run let sue,1
09 plain simple truth,0
step agree fact case grey however realize cop getting catch act unjustified violence daily basis getting catch video write narrative brutality thuggery public not tolerate long police brutality record police dangerous necessary,0
not interview constitution worker catch tape say shot hand,0
think indecent unessacerry event one person shoot mister brown steal something not entirely police officer fault,0
comment fuck ridiculous seeing video year know hand not shoot bullshit still tragedy let we not keep exploit man death no good come anyway shape form,1
plow get way,1
act like animal get treat like animal,1
not life understand people think mike brown martyr man criminal black people criminal absolutely not white criminal hispanic criminal betcha situation exactly race reverse would not issue,1
run,1
bad riot shotgun not load live round,1
live st louis scary,0
one race human race,0
always mister molyneux excellent video,0
cop need give wide latitude self defense consider threat face incapacitate high chance execute dam gun none seem care shit,1
thinking get bunch fact lean not make skittle ice tea wilson not know robbery video bunch poppy cock thank waste time,1
100 agree people arm need find information rioting think get high drug rob store carelessly walk middle street scream cop attack reach gun unarmed not mention size either people gullible find funny race racist black racist white every single time someone racist black person everyone throw hand get piss white people not racist person not want sit everyone believe white people racist people happen past make sick think grow generation,0
shoot first ask question later hahahahahaha,1
22 piece shit no business wear even cop uniform,1
bad weapon not discharge,1
fact michael brown 18 legal adult robbing store time assault someone store assault cop assault cop mostly likely go get shot racist,0
us justice department audit ferguson police department find 180 count excessive use police force african americans 2009 2014 addition find email contain discriminatory language department computer federal government pursue criminal case ferguson police department wonder bob mccullough try defend one,0
go girl listen twice retreat twice first gateway pungent second youtube god bless ms hubbard god speed,0
hey look like pussy,1
think mexican,0
tear gas ban geneva convention really stupid cunt also assault man early day assault police officer violent felony add big thug tell say unarmed not shoot fucker try take cop gun already tell would outrage thug kill cop double standard one say different stupid two,1
basset mari terrorist part isis,1
come call black african americans not european american white,0
race much news article get no national medium attention last week,0
not believe people really believe lead kind revolution,0
propaganda part people let hear ferguson,0
get pay protest ask protest no idea flow along mean would run fuck system we not arrest drive arrest fuck system america ok voice right no right block traffic,1
laugh ass read dude rap good part,0
warning round gatle gun clear freeway instant,1
think fall love,0
good job determining occur brown kill however occur not simple matter racism police abuse anything mention question everything pull back curtain see wizard illusion one life energy sacred turn peace love appreciation,0
peggy watch life leadership revolution video people smart good mentor really think research training would great leader keep great work,0
understand point black life matter block traffic like like go people need go place hospital family work et plane stupid,1
